code,date,decision,ALDnBS
510880.SS,2010-01-04C,Empty,
510880.SS,2010-01-05A,Long,
510880.SS,2010-01-05C,Long,
510880.SS,2010-01-06A,Long,
510880.SS,2010-01-06C,Long,
510880.SS,2010-01-07A,Empty,
510880.SS,2010-01-07C,Empty,
510880.SS,2010-01-08A,Empty,
510880.SS,2010-01-08C,Empty,
510880.SS,2010-01-11A,Long,
510880.SS,2010-01-11C,Empty,
510880.SS,2010-01-12A,Empty,
510880.SS,2010-01-12C,Long,
510880.SS,2010-01-13A,Empty,
510880.SS,2010-01-13C,Empty,
510880.SS,2010-01-14A,Empty,
510880.SS,2010-01-14C,Empty,
510880.SS,2010-01-15A,Empty,
510880.SS,2010-01-15C,Empty,
510880.SS,2010-01-18A,Empty,
510880.SS,2010-01-18C,Long,
510880.SS,2010-01-19A,Long,
510880.SS,2010-01-19C,Long,
510880.SS,2010-01-20A,Long,
510880.SS,2010-01-20C,Empty,
510880.SS,2010-01-21A,Empty,
510880.SS,2010-01-21C,Empty,
510880.SS,2010-01-22A,Empty,
510880.SS,2010-01-22C,Empty,
510880.SS,2010-01-25A,Empty,
510880.SS,2010-01-25C,Empty,
510880.SS,2010-01-26A,Empty,
510880.SS,2010-01-26C,Empty,
510880.SS,2010-01-27A,Empty,
510880.SS,2010-01-27C,Empty,
510880.SS,2010-01-28A,Empty,
510880.SS,2010-01-28C,Empty,
510880.SS,2010-01-29A,Empty,
510880.SS,2010-01-29C,Empty,
510880.SS,2010-02-01A,Empty,
510880.SS,2010-02-01C,Empty,
510880.SS,2010-02-02A,Empty,
510880.SS,2010-02-02C,Empty,
510880.SS,2010-02-03A,Empty,
510880.SS,2010-02-03C,Long,
510880.SS,2010-02-04A,Empty,
510880.SS,2010-02-04C,Long,
510880.SS,2010-02-05A,Empty,
510880.SS,2010-02-05C,Empty,
510880.SS,2010-02-08A,Empty,
510880.SS,2010-02-08C,Empty,
510880.SS,2010-02-09A,Empty,
510880.SS,2010-02-09C,Empty,
510880.SS,2010-02-10A,Long,
510880.SS,2010-02-10C,Long,
510880.SS,2010-02-11A,Long,
510880.SS,2010-02-11C,Long,
510880.SS,2010-02-12A,Long,
510880.SS,2010-02-12C,Long,
510880.SS,2010-02-22A,Long,
510880.SS,2010-02-22C,Long,
510880.SS,2010-02-23A,Long,
510880.SS,2010-02-23C,Long,
510880.SS,2010-02-24A,Empty,
510880.SS,2010-02-24C,Long,
510880.SS,2010-02-25A,Long,
510880.SS,2010-02-25C,Long,
510880.SS,2010-02-26A,Long,
510880.SS,2010-02-26C,Long,
510880.SS,2010-03-01A,Long,
510880.SS,2010-03-01C,Long,
510880.SS,2010-03-02A,Long,
510880.SS,2010-03-02C,Long,
510880.SS,2010-03-03A,Long,
510880.SS,2010-03-03C,Long,
510880.SS,2010-03-04A,Long,
510880.SS,2010-03-04C,Empty,
510880.SS,2010-03-05A,Empty,
510880.SS,2010-03-05C,Empty,
510880.SS,2010-03-08A,Empty,
510880.SS,2010-03-08C,Long,
510880.SS,2010-03-09A,Long,
510880.SS,2010-03-09C,Long,
510880.SS,2010-03-10A,Long,
510880.SS,2010-03-10C,Long,
510880.SS,2010-03-11A,Long,
510880.SS,2010-03-11C,Long,
510880.SS,2010-03-12A,Long,
510880.SS,2010-03-12C,Empty,
510880.SS,2010-03-15A,Empty,
510880.SS,2010-03-15C,Empty,
510880.SS,2010-03-16A,Empty,
510880.SS,2010-03-16C,Empty,
510880.SS,2010-03-17A,Empty,
510880.SS,2010-03-17C,Long,
510880.SS,2010-03-18A,Long,
510880.SS,2010-03-18C,Long,
510880.SS,2010-03-19A,Long,
510880.SS,2010-03-19C,Long,
510880.SS,2010-03-22A,Long,
510880.SS,2010-03-22C,Long,
510880.SS,2010-03-23A,Long,
510880.SS,2010-03-23C,Empty,
510880.SS,2010-03-24A,Empty,
